####################
## BD WTA Multiplex Rhapsody Analysis Pipeline Version 1.9.1
## Analysis Date: 2022-05-09 15:32:42
## Sample: 7273
## Reference: index_star_CHR.tar
## Supplemental sequences: combined_extra_seq.fasta
## Sample Tags Version: Single-Cell Multiplex Kit - Human
####################
Cell_Index,Sample_Tag,Sample_Name
38158,SampleTag03_hs,SampleTag03_hs
599614,SampleTag03_hs,SampleTag03_hs
60728,SampleTag03_hs,SampleTag03_hs
251143,SampleTag03_hs,SampleTag03_hs
688041,SampleTag03_hs,SampleTag03_hs
582104,SampleTag03_hs,SampleTag03_hs
263244,SampleTag03_hs,SampleTag03_hs
274739,SampleTag03_hs,SampleTag03_hs
614060,SampleTag03_hs,SampleTag03_hs
2266,Multiplet,Multiplet
56587,SampleTag01_hs,SampleTag01_hs
218480,SampleTag03_hs,SampleTag03_hs
427970,SampleTag03_hs,SampleTag03_hs
422078,SampleTag01_hs,SampleTag01_hs
84415,Multiplet,Multiplet
793288,Multiplet,Multiplet
697760,SampleTag03_hs,SampleTag03_hs
92679,SampleTag03_hs,SampleTag03_hs
123070,SampleTag01_hs,SampleTag01_hs
60334,SampleTag03_hs,SampleTag03_hs
569054,Multiplet,Multiplet
185865,SampleTag03_hs,SampleTag03_hs
776768,Multiplet,Multiplet
550482,Multiplet,Multiplet
326948,SampleTag02_hs,SampleTag02_hs
611627,Multiplet,Multiplet
141322,SampleTag01_hs,SampleTag01_hs
469861,SampleTag02_hs,SampleTag02_hs
548218,Multiplet,Multiplet
315299,Multiplet,Multiplet
183335,SampleTag03_hs,SampleTag03_hs
195335,SampleTag03_hs,SampleTag03_hs
184907,SampleTag01_hs,SampleTag01_hs
87761,Multiplet,Multiplet
51922,Multiplet,Multiplet
451856,Multiplet,Multiplet
205959,Multiplet,Multiplet
106945,Multiplet,Multiplet
74138,SampleTag02_hs,SampleTag02_hs
493106,Multiplet,Multiplet
815510,SampleTag03_hs,SampleTag03_hs
600151,Multiplet,Multiplet
447350,SampleTag01_hs,SampleTag01_hs
294856,SampleTag03_hs,SampleTag03_hs
444329,SampleTag01_hs,SampleTag01_hs
92384,SampleTag03_hs,SampleTag03_hs
439496,Multiplet,Multiplet
675054,SampleTag02_hs,SampleTag02_hs
204860,Multiplet,Multiplet
549392,SampleTag03_hs,SampleTag03_hs
220840,Multiplet,Multiplet
13339,SampleTag02_hs,SampleTag02_hs
714705,SampleTag03_hs,SampleTag03_hs
821654,SampleTag02_hs,SampleTag02_hs
827061,SampleTag03_hs,SampleTag03_hs
464523,SampleTag01_hs,SampleTag01_hs
678243,SampleTag03_hs,SampleTag03_hs
665232,SampleTag01_hs,SampleTag01_hs
757032,SampleTag03_hs,SampleTag03_hs
205062,SampleTag02_hs,SampleTag02_hs
825795,SampleTag03_hs,SampleTag03_hs
322959,SampleTag03_hs,SampleTag03_hs
717161,SampleTag01_hs,SampleTag01_hs
753155,SampleTag02_hs,SampleTag02_hs
194092,SampleTag01_hs,SampleTag01_hs
323889,SampleTag03_hs,SampleTag03_hs
789838,SampleTag03_hs,SampleTag03_hs
869992,SampleTag03_hs,SampleTag03_hs
711934,SampleTag03_hs,SampleTag03_hs
356118,SampleTag01_hs,SampleTag01_hs
598204,Multiplet,Multiplet
335006,SampleTag03_hs,SampleTag03_hs
883930,SampleTag03_hs,SampleTag03_hs
55976,Multiplet,Multiplet
353524,SampleTag03_hs,SampleTag03_hs
577890,Multiplet,Multiplet
475439,Multiplet,Multiplet
467338,Multiplet,Multiplet
803228,SampleTag03_hs,SampleTag03_hs
451522,SampleTag03_hs,SampleTag03_hs
624203,Multiplet,Multiplet
540307,Multiplet,Multiplet
649628,SampleTag01_hs,SampleTag01_hs
556416,SampleTag03_hs,SampleTag03_hs
649922,SampleTag03_hs,SampleTag03_hs
835445,Multiplet,Multiplet
108141,SampleTag03_hs,SampleTag03_hs
228689,SampleTag03_hs,SampleTag03_hs
85035,Multiplet,Multiplet
36109,Multiplet,Multiplet
526281,SampleTag02_hs,SampleTag02_hs
135063,SampleTag03_hs,SampleTag03_hs
88685,SampleTag02_hs,SampleTag02_hs
188332,SampleTag03_hs,SampleTag03_hs
595218,SampleTag03_hs,SampleTag03_hs
580548,SampleTag02_hs,SampleTag02_hs
707528,SampleTag03_hs,SampleTag03_hs
778539,SampleTag03_hs,SampleTag03_hs
6526,SampleTag03_hs,SampleTag03_hs
345203,SampleTag03_hs,SampleTag03_hs
734746,SampleTag03_hs,SampleTag03_hs
378931,SampleTag01_hs,SampleTag01_hs
456264,Multiplet,Multiplet
832090,SampleTag03_hs,SampleTag03_hs
784693,SampleTag01_hs,SampleTag01_hs
493271,SampleTag02_hs,SampleTag02_hs
347966,SampleTag03_hs,SampleTag03_hs
675496,SampleTag01_hs,SampleTag01_hs
808394,SampleTag03_hs,SampleTag03_hs
683806,SampleTag03_hs,SampleTag03_hs
529354,Multiplet,Multiplet
505976,SampleTag03_hs,SampleTag03_hs
121703,SampleTag01_hs,SampleTag01_hs
305551,SampleTag03_hs,SampleTag03_hs
427676,Multiplet,Multiplet
73848,SampleTag02_hs,SampleTag02_hs
732846,Multiplet,Multiplet
327317,Multiplet,Multiplet
211434,SampleTag02_hs,SampleTag02_hs
51999,SampleTag03_hs,SampleTag03_hs
704829,SampleTag03_hs,SampleTag03_hs
776457,SampleTag03_hs,SampleTag03_hs
119320,SampleTag03_hs,SampleTag03_hs
283172,SampleTag02_hs,SampleTag02_hs
391512,Multiplet,Multiplet
402179,SampleTag03_hs,SampleTag03_hs
226719,SampleTag03_hs,SampleTag03_hs
607299,Multiplet,Multiplet
819145,SampleTag03_hs,SampleTag03_hs
872024,Multiplet,Multiplet
705044,SampleTag03_hs,SampleTag03_hs
531816,SampleTag02_hs,SampleTag02_hs
820372,Multiplet,Multiplet
42080,SampleTag02_hs,SampleTag02_hs
113140,SampleTag03_hs,SampleTag03_hs
77673,SampleTag03_hs,SampleTag03_hs
564718,Multiplet,Multiplet
391433,SampleTag01_hs,SampleTag01_hs
195430,Multiplet,Multiplet
309725,Multiplet,Multiplet
749001,SampleTag03_hs,SampleTag03_hs
87216,SampleTag03_hs,SampleTag03_hs
518117,SampleTag03_hs,SampleTag03_hs
168613,Multiplet,Multiplet
636882,SampleTag03_hs,SampleTag03_hs
869969,SampleTag03_hs,SampleTag03_hs
828624,SampleTag03_hs,SampleTag03_hs
119313,Multiplet,Multiplet
718320,SampleTag02_hs,SampleTag02_hs
216856,Multiplet,Multiplet
189636,SampleTag03_hs,SampleTag03_hs
340427,SampleTag03_hs,SampleTag03_hs
541679,SampleTag02_hs,SampleTag02_hs
508982,Multiplet,Multiplet
104201,SampleTag03_hs,SampleTag03_hs
805731,SampleTag03_hs,SampleTag03_hs
450881,SampleTag03_hs,SampleTag03_hs
207874,SampleTag03_hs,SampleTag03_hs
287672,SampleTag03_hs,SampleTag03_hs
867899,Multiplet,Multiplet
469538,SampleTag03_hs,SampleTag03_hs
788985,Multiplet,Multiplet
747135,SampleTag03_hs,SampleTag03_hs
227775,SampleTag03_hs,SampleTag03_hs
299757,SampleTag03_hs,SampleTag03_hs
253479,SampleTag03_hs,SampleTag03_hs
767324,Multiplet,Multiplet
3186,Multiplet,Multiplet
692243,Multiplet,Multiplet
25661,SampleTag03_hs,SampleTag03_hs
575630,Multiplet,Multiplet
739642,Multiplet,Multiplet
201965,Multiplet,Multiplet
861652,Multiplet,Multiplet
308432,SampleTag03_hs,SampleTag03_hs
59777,Multiplet,Multiplet
607439,SampleTag02_hs,SampleTag02_hs
322848,SampleTag01_hs,SampleTag01_hs
508789,SampleTag01_hs,SampleTag01_hs
111835,SampleTag03_hs,SampleTag03_hs
207416,SampleTag01_hs,SampleTag01_hs
297284,SampleTag03_hs,SampleTag03_hs
34067,SampleTag03_hs,SampleTag03_hs
112447,SampleTag03_hs,SampleTag03_hs
610567,SampleTag03_hs,SampleTag03_hs
499356,Multiplet,Multiplet
652402,Multiplet,Multiplet
841981,SampleTag02_hs,SampleTag02_hs
641529,Multiplet,Multiplet
26245,SampleTag03_hs,SampleTag03_hs
490941,SampleTag03_hs,SampleTag03_hs
124888,SampleTag03_hs,SampleTag03_hs
476212,Multiplet,Multiplet
194598,SampleTag03_hs,SampleTag03_hs
727795,SampleTag01_hs,SampleTag01_hs
193233,Multiplet,Multiplet
54671,SampleTag02_hs,SampleTag02_hs
874861,SampleTag02_hs,SampleTag02_hs
863773,SampleTag03_hs,SampleTag03_hs
746524,SampleTag03_hs,SampleTag03_hs
691403,Multiplet,Multiplet
772427,SampleTag03_hs,SampleTag03_hs
657474,SampleTag03_hs,SampleTag03_hs
575939,SampleTag03_hs,SampleTag03_hs
305555,SampleTag02_hs,SampleTag02_hs
73572,Multiplet,Multiplet
346501,Multiplet,Multiplet
721293,SampleTag03_hs,SampleTag03_hs
658362,Multiplet,Multiplet
89661,SampleTag01_hs,SampleTag01_hs
576952,Multiplet,Multiplet
298281,SampleTag03_hs,SampleTag03_hs
875623,SampleTag02_hs,SampleTag02_hs
829036,Multiplet,Multiplet
840011,SampleTag02_hs,SampleTag02_hs
820055,Multiplet,Multiplet
727017,SampleTag03_hs,SampleTag03_hs
207396,Multiplet,Multiplet
557672,Multiplet,Multiplet
771540,SampleTag01_hs,SampleTag01_hs
574967,Multiplet,Multiplet
561037,SampleTag03_hs,SampleTag03_hs
26049,Multiplet,Multiplet
573024,SampleTag03_hs,SampleTag03_hs
259112,SampleTag01_hs,SampleTag01_hs
449248,SampleTag03_hs,SampleTag03_hs
658365,SampleTag03_hs,SampleTag03_hs
271204,SampleTag01_hs,SampleTag01_hs
85312,SampleTag03_hs,SampleTag03_hs
838719,SampleTag03_hs,SampleTag03_hs
221311,Multiplet,Multiplet
746302,SampleTag02_hs,SampleTag02_hs
368262,Multiplet,Multiplet
506547,SampleTag03_hs,SampleTag03_hs
388572,SampleTag02_hs,SampleTag02_hs
511829,Multiplet,Multiplet
445475,SampleTag01_hs,SampleTag01_hs
188131,SampleTag01_hs,SampleTag01_hs
730906,SampleTag03_hs,SampleTag03_hs
209359,SampleTag03_hs,SampleTag03_hs
676069,SampleTag01_hs,SampleTag01_hs
174260,SampleTag03_hs,SampleTag03_hs
702186,SampleTag03_hs,SampleTag03_hs
620537,SampleTag03_hs,SampleTag03_hs
589069,SampleTag03_hs,SampleTag03_hs
355868,SampleTag03_hs,SampleTag03_hs
34731,SampleTag02_hs,SampleTag02_hs
438967,SampleTag02_hs,SampleTag02_hs
194258,SampleTag03_hs,SampleTag03_hs
107125,SampleTag03_hs,SampleTag03_hs
120335,Multiplet,Multiplet
515782,SampleTag03_hs,SampleTag03_hs
705518,SampleTag03_hs,SampleTag03_hs
614712,SampleTag03_hs,SampleTag03_hs
529263,SampleTag03_hs,SampleTag03_hs
478699,SampleTag03_hs,SampleTag03_hs
312468,Multiplet,Multiplet
626469,SampleTag03_hs,SampleTag03_hs
690794,Multiplet,Multiplet
423291,Multiplet,Multiplet
518505,SampleTag03_hs,SampleTag03_hs
724006,SampleTag02_hs,SampleTag02_hs
781507,Multiplet,Multiplet
11776,SampleTag02_hs,SampleTag02_hs
7425,Multiplet,Multiplet
209248,SampleTag03_hs,SampleTag03_hs
568498,SampleTag03_hs,SampleTag03_hs
575739,SampleTag03_hs,SampleTag03_hs
552761,SampleTag03_hs,SampleTag03_hs
421601,SampleTag02_hs,SampleTag02_hs
39257,Multiplet,Multiplet
742305,SampleTag03_hs,SampleTag03_hs
368255,SampleTag03_hs,SampleTag03_hs
9688,SampleTag03_hs,SampleTag03_hs
556597,SampleTag03_hs,SampleTag03_hs
558171,SampleTag02_hs,SampleTag02_hs
845524,SampleTag02_hs,SampleTag02_hs
722764,SampleTag03_hs,SampleTag03_hs
531498,Multiplet,Multiplet
449345,SampleTag03_hs,SampleTag03_hs
821024,SampleTag02_hs,SampleTag02_hs
554827,SampleTag03_hs,SampleTag03_hs
556571,SampleTag01_hs,SampleTag01_hs
838720,SampleTag02_hs,SampleTag02_hs
210924,Multiplet,Multiplet
46783,Multiplet,Multiplet
94221,SampleTag03_hs,SampleTag03_hs
617985,Multiplet,Multiplet
598010,SampleTag01_hs,SampleTag01_hs
590474,SampleTag03_hs,SampleTag03_hs
294451,SampleTag03_hs,SampleTag03_hs
519195,SampleTag03_hs,SampleTag03_hs
305192,SampleTag03_hs,SampleTag03_hs
591455,SampleTag03_hs,SampleTag03_hs
566746,SampleTag01_hs,SampleTag01_hs
545714,Multiplet,Multiplet
540274,SampleTag03_hs,SampleTag03_hs
112595,SampleTag03_hs,SampleTag03_hs
291359,Multiplet,Multiplet
44949,SampleTag03_hs,SampleTag03_hs
103650,SampleTag01_hs,SampleTag01_hs
755459,SampleTag03_hs,SampleTag03_hs
512471,Multiplet,Multiplet
88200,SampleTag03_hs,SampleTag03_hs
219212,SampleTag03_hs,SampleTag03_hs
324530,SampleTag03_hs,SampleTag03_hs
267088,SampleTag03_hs,SampleTag03_hs
108491,SampleTag03_hs,SampleTag03_hs
291776,SampleTag01_hs,SampleTag01_hs
205946,SampleTag01_hs,SampleTag01_hs
612787,SampleTag03_hs,SampleTag03_hs
466635,Multiplet,Multiplet
391574,SampleTag03_hs,SampleTag03_hs
241555,SampleTag03_hs,SampleTag03_hs
211071,SampleTag03_hs,SampleTag03_hs
624450,Multiplet,Multiplet
674362,SampleTag01_hs,SampleTag01_hs
302190,SampleTag02_hs,SampleTag02_hs
439958,SampleTag03_hs,SampleTag03_hs
261534,SampleTag03_hs,SampleTag03_hs
378241,Multiplet,Multiplet
148975,SampleTag03_hs,SampleTag03_hs
715377,Multiplet,Multiplet
623487,SampleTag03_hs,SampleTag03_hs
488680,SampleTag01_hs,SampleTag01_hs
156742,SampleTag01_hs,SampleTag01_hs
301115,SampleTag03_hs,SampleTag03_hs
685672,SampleTag03_hs,SampleTag03_hs
202044,SampleTag03_hs,SampleTag03_hs
813111,SampleTag03_hs,SampleTag03_hs
72942,SampleTag03_hs,SampleTag03_hs
380773,SampleTag03_hs,SampleTag03_hs
747076,Multiplet,Multiplet
733668,Multiplet,Multiplet
234761,SampleTag03_hs,SampleTag03_hs
237070,SampleTag01_hs,SampleTag01_hs
416440,SampleTag03_hs,SampleTag03_hs
384658,SampleTag03_hs,SampleTag03_hs
600888,Multiplet,Multiplet
137544,SampleTag03_hs,SampleTag03_hs
747248,Multiplet,Multiplet
705029,SampleTag03_hs,SampleTag03_hs
408103,SampleTag03_hs,SampleTag03_hs
835235,SampleTag03_hs,SampleTag03_hs
169126,Multiplet,Multiplet
428436,SampleTag01_hs,SampleTag01_hs
23194,Multiplet,Multiplet
784210,SampleTag03_hs,SampleTag03_hs
604853,SampleTag03_hs,SampleTag03_hs
769404,SampleTag02_hs,SampleTag02_hs
11218,Multiplet,Multiplet
622309,SampleTag02_hs,SampleTag02_hs
382013,SampleTag01_hs,SampleTag01_hs
32802,SampleTag03_hs,SampleTag03_hs
32542,SampleTag01_hs,SampleTag01_hs
402759,Multiplet,Multiplet
836431,Multiplet,Multiplet
226685,Multiplet,Multiplet
709209,SampleTag03_hs,SampleTag03_hs
607160,Multiplet,Multiplet
814156,SampleTag01_hs,SampleTag01_hs
861344,Multiplet,Multiplet
652937,SampleTag03_hs,SampleTag03_hs
299875,SampleTag03_hs,SampleTag03_hs
197416,SampleTag01_hs,SampleTag01_hs
336532,Multiplet,Multiplet
752221,SampleTag03_hs,SampleTag03_hs
713662,Multiplet,Multiplet
282112,SampleTag03_hs,SampleTag03_hs
474245,SampleTag03_hs,SampleTag03_hs
338004,SampleTag03_hs,SampleTag03_hs
628971,Multiplet,Multiplet
474102,Multiplet,Multiplet
805629,SampleTag03_hs,SampleTag03_hs
98645,SampleTag03_hs,SampleTag03_hs
61690,SampleTag01_hs,SampleTag01_hs
879326,Multiplet,Multiplet
775470,SampleTag02_hs,SampleTag02_hs
443136,Multiplet,Multiplet
777673,SampleTag02_hs,SampleTag02_hs
645143,SampleTag01_hs,SampleTag01_hs
101640,Multiplet,Multiplet
840331,SampleTag03_hs,SampleTag03_hs
680498,SampleTag03_hs,SampleTag03_hs
564079,SampleTag03_hs,SampleTag03_hs
387360,SampleTag03_hs,SampleTag03_hs
636013,Multiplet,Multiplet
712344,Multiplet,Multiplet
496020,SampleTag01_hs,SampleTag01_hs
284991,SampleTag03_hs,SampleTag03_hs
859407,SampleTag03_hs,SampleTag03_hs
753229,SampleTag02_hs,SampleTag02_hs
559486,SampleTag02_hs,SampleTag02_hs
188753,SampleTag02_hs,SampleTag02_hs
398746,SampleTag01_hs,SampleTag01_hs
337533,Multiplet,Multiplet
209924,SampleTag03_hs,SampleTag03_hs
410144,SampleTag01_hs,SampleTag01_hs
836249,Multiplet,Multiplet
364086,Multiplet,Multiplet
356167,Multiplet,Multiplet
36875,Multiplet,Multiplet
51961,SampleTag03_hs,SampleTag03_hs
856099,Multiplet,Multiplet
370502,SampleTag03_hs,SampleTag03_hs
247374,Multiplet,Multiplet
266738,Multiplet,Multiplet
810527,Multiplet,Multiplet
610673,SampleTag03_hs,SampleTag03_hs
877346,Multiplet,Multiplet
639490,Multiplet,Multiplet
346020,Multiplet,Multiplet
299807,SampleTag01_hs,SampleTag01_hs
222701,SampleTag02_hs,SampleTag02_hs
824249,SampleTag01_hs,SampleTag01_hs
769008,SampleTag01_hs,SampleTag01_hs
89899,SampleTag03_hs,SampleTag03_hs
59379,SampleTag01_hs,SampleTag01_hs
73427,SampleTag02_hs,SampleTag02_hs
722051,SampleTag03_hs,SampleTag03_hs
878205,SampleTag03_hs,SampleTag03_hs
112329,Multiplet,Multiplet
542155,SampleTag03_hs,SampleTag03_hs
682698,Multiplet,Multiplet
246264,SampleTag03_hs,SampleTag03_hs
555886,SampleTag03_hs,SampleTag03_hs
103871,SampleTag03_hs,SampleTag03_hs
153090,SampleTag03_hs,SampleTag03_hs
525286,SampleTag03_hs,SampleTag03_hs
28387,SampleTag03_hs,SampleTag03_hs
806378,Multiplet,Multiplet
739202,SampleTag03_hs,SampleTag03_hs
204674,SampleTag03_hs,SampleTag03_hs
250070,SampleTag03_hs,SampleTag03_hs
341638,SampleTag03_hs,SampleTag03_hs
196402,SampleTag01_hs,SampleTag01_hs
79247,SampleTag03_hs,SampleTag03_hs
36752,Multiplet,Multiplet
802381,SampleTag03_hs,SampleTag03_hs
545300,SampleTag01_hs,SampleTag01_hs
171304,SampleTag01_hs,SampleTag01_hs
797560,SampleTag02_hs,SampleTag02_hs
575383,SampleTag03_hs,SampleTag03_hs
11715,SampleTag01_hs,SampleTag01_hs
62673,Multiplet,Multiplet
577642,SampleTag03_hs,SampleTag03_hs
579946,Multiplet,Multiplet
449182,SampleTag01_hs,SampleTag01_hs
184721,SampleTag03_hs,SampleTag03_hs
231545,SampleTag03_hs,SampleTag03_hs
423823,Multiplet,Multiplet
690864,SampleTag03_hs,SampleTag03_hs
707712,SampleTag03_hs,SampleTag03_hs
802460,SampleTag03_hs,SampleTag03_hs
86996,SampleTag03_hs,SampleTag03_hs
595732,Multiplet,Multiplet
829108,SampleTag01_hs,SampleTag01_hs
718560,SampleTag03_hs,SampleTag03_hs
458538,SampleTag03_hs,SampleTag03_hs
131170,Multiplet,Multiplet
759843,SampleTag03_hs,SampleTag03_hs
253885,SampleTag03_hs,SampleTag03_hs
166059,SampleTag03_hs,SampleTag03_hs
340336,SampleTag02_hs,SampleTag02_hs
20230,SampleTag03_hs,SampleTag03_hs
9739,Multiplet,Multiplet
332757,SampleTag03_hs,SampleTag03_hs
519447,SampleTag03_hs,SampleTag03_hs
728733,Multiplet,Multiplet
650547,Multiplet,Multiplet
669250,SampleTag01_hs,SampleTag01_hs
783613,Multiplet,Multiplet
344069,SampleTag02_hs,SampleTag02_hs
738995,SampleTag01_hs,SampleTag01_hs
212962,SampleTag01_hs,SampleTag01_hs
601320,Multiplet,Multiplet
188319,Multiplet,Multiplet
847944,SampleTag03_hs,SampleTag03_hs
512367,SampleTag03_hs,SampleTag03_hs
39422,SampleTag03_hs,SampleTag03_hs
514433,SampleTag03_hs,SampleTag03_hs
821144,SampleTag03_hs,SampleTag03_hs
421545,SampleTag02_hs,SampleTag02_hs
745360,SampleTag03_hs,SampleTag03_hs
279700,Multiplet,Multiplet
740672,Multiplet,Multiplet
461007,SampleTag03_hs,SampleTag03_hs
576228,SampleTag01_hs,SampleTag01_hs
224880,SampleTag03_hs,SampleTag03_hs
629173,SampleTag03_hs,SampleTag03_hs
702329,SampleTag03_hs,SampleTag03_hs
307689,SampleTag03_hs,SampleTag03_hs
407154,SampleTag03_hs,SampleTag03_hs
216110,SampleTag03_hs,SampleTag03_hs
45929,SampleTag01_hs,SampleTag01_hs
285539,SampleTag03_hs,SampleTag03_hs
627224,Multiplet,Multiplet
826277,Multiplet,Multiplet
413154,SampleTag03_hs,SampleTag03_hs
552048,SampleTag03_hs,SampleTag03_hs
250903,Multiplet,Multiplet
740341,Multiplet,Multiplet
558533,Multiplet,Multiplet
204642,SampleTag01_hs,SampleTag01_hs
515607,SampleTag03_hs,SampleTag03_hs
674720,SampleTag03_hs,SampleTag03_hs
594115,SampleTag03_hs,SampleTag03_hs
494527,Multiplet,Multiplet
764218,SampleTag03_hs,SampleTag03_hs
570876,Multiplet,Multiplet
384419,Multiplet,Multiplet
539739,Multiplet,Multiplet
636387,SampleTag03_hs,SampleTag03_hs
5438,Multiplet,Multiplet
578614,SampleTag02_hs,SampleTag02_hs
73475,SampleTag03_hs,SampleTag03_hs
99554,Multiplet,Multiplet
285859,SampleTag03_hs,SampleTag03_hs
664133,SampleTag02_hs,SampleTag02_hs
774296,SampleTag03_hs,SampleTag03_hs
269565,Multiplet,Multiplet
694404,SampleTag03_hs,SampleTag03_hs
597062,Multiplet,Multiplet
565212,SampleTag02_hs,SampleTag02_hs
191835,SampleTag03_hs,SampleTag03_hs
811435,SampleTag03_hs,SampleTag03_hs
135835,SampleTag03_hs,SampleTag03_hs
65883,SampleTag01_hs,SampleTag01_hs
870297,SampleTag02_hs,SampleTag02_hs
254475,SampleTag03_hs,SampleTag03_hs
327550,SampleTag03_hs,SampleTag03_hs
646073,SampleTag02_hs,SampleTag02_hs
491145,SampleTag03_hs,SampleTag03_hs
232748,SampleTag01_hs,SampleTag01_hs
268210,SampleTag03_hs,SampleTag03_hs
634852,SampleTag02_hs,SampleTag02_hs
86972,SampleTag03_hs,SampleTag03_hs
469775,SampleTag03_hs,SampleTag03_hs
343573,SampleTag01_hs,SampleTag01_hs
503693,Multiplet,Multiplet
504041,SampleTag03_hs,SampleTag03_hs
113710,SampleTag03_hs,SampleTag03_hs
532017,SampleTag03_hs,SampleTag03_hs
416150,SampleTag03_hs,SampleTag03_hs
53506,Multiplet,Multiplet
791452,Multiplet,Multiplet
516493,Multiplet,Multiplet
748971,SampleTag03_hs,SampleTag03_hs
13427,SampleTag03_hs,SampleTag03_hs
25633,SampleTag01_hs,SampleTag01_hs
232053,SampleTag03_hs,SampleTag03_hs
533437,SampleTag02_hs,SampleTag02_hs
350019,SampleTag01_hs,SampleTag01_hs
214740,Multiplet,Multiplet
545416,SampleTag03_hs,SampleTag03_hs
835927,SampleTag03_hs,SampleTag03_hs
407543,SampleTag03_hs,SampleTag03_hs
540925,Multiplet,Multiplet
102839,SampleTag02_hs,SampleTag02_hs
137491,SampleTag03_hs,SampleTag03_hs
326047,SampleTag03_hs,SampleTag03_hs
284882,Multiplet,Multiplet
646819,SampleTag02_hs,SampleTag02_hs
673076,Multiplet,Multiplet
463077,Multiplet,Multiplet
531070,SampleTag01_hs,SampleTag01_hs
822995,SampleTag03_hs,SampleTag03_hs
622414,SampleTag01_hs,SampleTag01_hs
841609,SampleTag03_hs,SampleTag03_hs
389499,Multiplet,Multiplet
492893,Multiplet,Multiplet
193751,Multiplet,Multiplet
18988,Multiplet,Multiplet
217559,SampleTag03_hs,SampleTag03_hs
466375,SampleTag01_hs,SampleTag01_hs
412803,Multiplet,Multiplet
744894,Multiplet,Multiplet
115497,SampleTag03_hs,SampleTag03_hs
727065,SampleTag03_hs,SampleTag03_hs
578606,Multiplet,Multiplet
15480,SampleTag03_hs,SampleTag03_hs
195508,Multiplet,Multiplet
46365,Multiplet,Multiplet
300879,SampleTag03_hs,SampleTag03_hs
165768,SampleTag01_hs,SampleTag01_hs
264628,SampleTag03_hs,SampleTag03_hs
748961,SampleTag02_hs,SampleTag02_hs
409017,Multiplet,Multiplet
286501,Multiplet,Multiplet
427958,SampleTag03_hs,SampleTag03_hs
445490,SampleTag03_hs,SampleTag03_hs
367136,Multiplet,Multiplet
845731,SampleTag01_hs,SampleTag01_hs
828647,SampleTag01_hs,SampleTag01_hs
37485,SampleTag01_hs,SampleTag01_hs
804583,Multiplet,Multiplet
164772,Multiplet,Multiplet
863552,SampleTag01_hs,SampleTag01_hs
507936,SampleTag01_hs,SampleTag01_hs
271254,Multiplet,Multiplet
240154,SampleTag03_hs,SampleTag03_hs
5219,Multiplet,Multiplet
605541,SampleTag01_hs,SampleTag01_hs
322268,SampleTag03_hs,SampleTag03_hs
686095,Multiplet,Multiplet
456380,SampleTag01_hs,SampleTag01_hs
819204,SampleTag03_hs,SampleTag03_hs
832298,Multiplet,Multiplet
608364,SampleTag02_hs,SampleTag02_hs
619924,Multiplet,Multiplet
854635,SampleTag02_hs,SampleTag02_hs
757515,Multiplet,Multiplet
225702,SampleTag03_hs,SampleTag03_hs
115978,SampleTag03_hs,SampleTag03_hs
427879,SampleTag03_hs,SampleTag03_hs
771274,SampleTag02_hs,SampleTag02_hs
241517,Multiplet,Multiplet
105927,Multiplet,Multiplet
593762,Multiplet,Multiplet
8484,SampleTag02_hs,SampleTag02_hs
859919,SampleTag02_hs,SampleTag02_hs
286082,SampleTag03_hs,SampleTag03_hs
221656,SampleTag03_hs,SampleTag03_hs
587150,Multiplet,Multiplet
522859,SampleTag03_hs,SampleTag03_hs
624075,Multiplet,Multiplet
313508,SampleTag02_hs,SampleTag02_hs
241116,SampleTag03_hs,SampleTag03_hs
106609,SampleTag01_hs,SampleTag01_hs
318840,SampleTag03_hs,SampleTag03_hs
583841,SampleTag03_hs,SampleTag03_hs
424978,SampleTag03_hs,SampleTag03_hs
31504,SampleTag03_hs,SampleTag03_hs
215452,SampleTag03_hs,SampleTag03_hs
166945,SampleTag01_hs,SampleTag01_hs
175251,SampleTag03_hs,SampleTag03_hs
422571,Multiplet,Multiplet
712619,SampleTag03_hs,SampleTag03_hs
803124,SampleTag03_hs,SampleTag03_hs
324893,Multiplet,Multiplet
512699,SampleTag01_hs,SampleTag01_hs
235366,SampleTag01_hs,SampleTag01_hs
337971,SampleTag02_hs,SampleTag02_hs
701386,SampleTag03_hs,SampleTag03_hs
878421,Multiplet,Multiplet
875951,SampleTag01_hs,SampleTag01_hs
72990,SampleTag03_hs,SampleTag03_hs
466191,SampleTag03_hs,SampleTag03_hs
238563,Multiplet,Multiplet
434039,SampleTag03_hs,SampleTag03_hs
65664,SampleTag01_hs,SampleTag01_hs
288605,SampleTag03_hs,SampleTag03_hs
364453,SampleTag02_hs,SampleTag02_hs
411726,SampleTag03_hs,SampleTag03_hs
218945,SampleTag03_hs,SampleTag03_hs
169059,SampleTag01_hs,SampleTag01_hs
62607,Multiplet,Multiplet
724458,SampleTag03_hs,SampleTag03_hs
2233,SampleTag02_hs,SampleTag02_hs
732677,SampleTag03_hs,SampleTag03_hs
23479,SampleTag03_hs,SampleTag03_hs
879020,Multiplet,Multiplet
69663,Multiplet,Multiplet
746169,SampleTag02_hs,SampleTag02_hs
430090,Multiplet,Multiplet
716369,SampleTag03_hs,SampleTag03_hs
240171,SampleTag03_hs,SampleTag03_hs
505921,Multiplet,Multiplet
320859,SampleTag03_hs,SampleTag03_hs
244755,Multiplet,Multiplet
